Soil,State,District,Season,water,crop
loam soil,Assam,HAILAKANDI,Kharif,low,Tapioca
loam soil,Assam,HAILAKANDI,Kharif,low,Tobacco
loam soil,Assam,HAILAKANDI,Kharif,medium,Small millets
loam soil,Assam,HAILAKANDI,Kharif,medium,Niger seed
loam soil,Assam,HAILAKANDI,Kharif,medium,Mesta
loam soil,Assam,HAILAKANDI,Rabi,high,Rapeseed &Mustard
loam soil,Assam,HAILAKANDI,Rabi,low,Gram
loam soil,Assam,HAILAKANDI,Rabi,low,Linseed
loam soil,Assam,HAILAKANDI,Rabi,low,Urad
loam soil,Assam,HAILAKANDI,Rabi,low,Blackgram
loam soil,Assam,HAILAKANDI,Rabi,low,Ginger
loam soil,Assam,HAILAKANDI,Rabi,medium,Other  Rabi pulses
loam soil,Assam,HAILAKANDI,Rabi,medium,Wheat
loam soil,Assam,HAILAKANDI,Rabi,medium,Moong(Green Gram)
loam soil,Assam,HAILAKANDI,Whole Year,high,Orange
loam soil,Assam,HAILAKANDI,Whole Year,low,Tapioca
loam soil,Assam,HAILAKANDI,Whole Year,low,Tobacco
loam soil,Assam,HAILAKANDI,Whole Year,low,Dry ginger
loam soil,Assam,HAILAKANDI,Whole Year,medium,Turmeric
loam soil,Assam,JORHAT,Kharif,high,Maize
loam soil,Assam,JORHAT,Kharif,high,Orange
loam soil,Assam,JORHAT,Kharif,low,Jute
loam soil,Assam,JORHAT,Kharif,low,Tapioca
loam soil,Assam,JORHAT,Kharif,low,Tobacco
loam soil,Assam,JORHAT,Kharif,medium,Small millets
loam soil,Assam,JORHAT,Kharif,medium,Mesta
loam soil,Assam,JORHAT,Kharif,medium,Niger seed
loam soil,Assam,JORHAT,Rabi,high,Rapeseed &Mustard
loam soil,Assam,JORHAT,Rabi,low,Gram
loam soil,Assam,JORHAT,Rabi,low,Urad
loam soil,Assam,JORHAT,Rabi,low,Blackgram
loam soil,Assam,JORHAT,Rabi,low,Linseed
loam soil,Assam,JORHAT,Rabi,low,Ginger
loam soil,Assam,JORHAT,Rabi,medium,Other  Rabi pulses
loam soil,Assam,JORHAT,Rabi,medium,Wheat
loam soil,Assam,JORHAT,Rabi,medium,Moong(Green Gram)
loam soil,Assam,JORHAT,Whole Year,high,Orange
loam soil,Assam,JORHAT,Whole Year,low,Tapioca
loam soil,Assam,JORHAT,Whole Year,low,Tobacco
loam soil,Assam,JORHAT,Whole Year,low,Dry ginger
loam soil,Assam,JORHAT,Whole Year,medium,Turmeric
loam soil,Assam,KAMRUP,Kharif,high,Maize
loam soil,Assam,KAMRUP,Kharif,high,Orange
loam soil,Assam,KAMRUP,Kharif,low,Jute
loam soil,Assam,KAMRUP,Kharif,low,Tapioca
loam soil,Assam,KAMRUP,Kharif,low,Tobacco
loam soil,Assam,KAMRUP,Kharif,medium,Mesta
loam soil,Assam,KAMRUP,Kharif,medium,Niger seed
loam soil,Assam,KAMRUP,Kharif,medium,Small millets
loam soil,Assam,KAMRUP,Rabi,high,Rapeseed &Mustard
loam soil,Assam,KAMRUP,Rabi,low,Gram
loam soil,Assam,KAMRUP,Rabi,low,Linseed
loam soil,Assam,KAMRUP,Rabi,low,Urad
loam soil,Assam,KAMRUP,Rabi,low,Blackgram
loam soil,Assam,KAMRUP,Rabi,low,Ginger
loam soil,Assam,KAMRUP,Rabi,medium,Other  Rabi pulses
loam soil,Assam,KAMRUP,Rabi,medium,Wheat
loam soil,Assam,KAMRUP,Rabi,medium,Moong(Green Gram)
loam soil,Assam,KAMRUP,Whole Year,high,Orange
loam soil,Assam,KAMRUP,Whole Year,low,Tapioca
loam soil,Assam,KAMRUP,Whole Year,low,Tobacco
loam soil,Assam,KAMRUP,Whole Year,low,Dry ginger
loam soil,Assam,KAMRUP,Whole Year,medium,Niger seed
loam soil,Assam,KAMRUP,Whole Year,medium,Turmeric
loam soil,Assam,KAMRUP METRO,Kharif,high,Maize
loam soil,Assam,KAMRUP METRO,Kharif,high,Orange
loam soil,Assam,KAMRUP METRO,Kharif,low,Jute
loam soil,Assam,KAMRUP METRO,Kharif,low,Tapioca
loam soil,Assam,KAMRUP METRO,Kharif,low,Tobacco
loam soil,Assam,KAMRUP METRO,Kharif,medium,Mesta
loam soil,Assam,KAMRUP METRO,Kharif,medium,Niger seed
loam soil,Assam,KAMRUP METRO,Kharif,medium,Small millets
loam soil,Assam,KAMRUP METRO,Rabi,high,Rapeseed &Mustard
loam soil,Assam,KAMRUP METRO,Rabi,low,Linseed
loam soil,Assam,KAMRUP METRO,Rabi,low,Urad
loam soil,Assam,KAMRUP METRO,Rabi,low,Gram
loam soil,Assam,KAMRUP METRO,Rabi,low,Blackgram
loam soil,Assam,KAMRUP METRO,Rabi,low,Ginger
loam soil,Assam,KAMRUP METRO,Rabi,medium,Moong(Green Gram)
loam soil,Assam,KAMRUP METRO,Rabi,medium,Other  Rabi pulses
loam soil,Assam,KAMRUP METRO,Rabi,medium,Wheat
loam soil,Assam,KAMRUP METRO,Whole Year,low,Tapioca
loam soil,Assam,KAMRUP METRO,Whole Year,low,Tobacco
loam soil,Assam,KAMRUP METRO,Whole Year,low,Dry ginger
loam soil,Assam,KAMRUP METRO,Whole Year,medium,Turmeric
loam soil,Assam,KARBI ANGLONG,Kharif,high,Maize
loam soil,Assam,KARBI ANGLONG,Kharif,high,Orange
loam soil,Assam,KARBI ANGLONG,Kharif,low,Jute
loam soil,Assam,KARBI ANGLONG,Kharif,low,Tapioca
loam soil,Assam,KARBI ANGLONG,Kharif,low,Tobacco
loam soil,Assam,KARBI ANGLONG,Kharif,medium,Mesta
loam soil,Assam,KARBI ANGLONG,Kharif,medium,Small millets
loam soil,Assam,KARBI ANGLONG,Kharif,medium,Niger seed
loam soil,Assam,KARBI ANGLONG,Rabi,high,Rapeseed &Mustard
loam soil,Assam,KARBI ANGLONG,Rabi,low,Gram
loam soil,Assam,KARBI ANGLONG,Rabi,low,Linseed
loam soil,Assam,KARBI ANGLONG,Rabi,low,Urad
loam soil,Assam,KARBI ANGLONG,Rabi,low,Blackgram
loam soil,Assam,KARBI ANGLONG,Rabi,low,Ginger
loam soil,Assam,KARBI ANGLONG,Rabi,medium,Other  Rabi pulses
loam soil,Assam,KARBI ANGLONG,Rabi,medium,Wheat
loam soil,Assam,KARBI ANGLONG,Rabi,medium,Moong(Green Gram)
loam soil,Assam,KARBI ANGLONG,Whole Year,high,Orange
loam soil,Assam,KARBI ANGLONG,Whole Year,low,Tapioca
loam soil,Assam,KARBI ANGLONG,Whole Year,low,Tobacco
loam soil,Assam,KARBI ANGLONG,Whole Year,low,Dry ginger
loam soil,Assam,KARBI ANGLONG,Whole Year,medium,Niger seed
loam soil,Assam,KARBI ANGLONG,Whole Year,medium,Turmeric
loam soil,Assam,KARIMGANJ,Kharif,high,Maize
loam soil,Assam,KARIMGANJ,Kharif,high,Orange
loam soil,Assam,KARIMGANJ,Kharif,low,Jute
loam soil,Assam,KARIMGANJ,Kharif,low,Tapioca
loam soil,Assam,KARIMGANJ,Kharif,low,Tobacco
loam soil,Assam,KARIMGANJ,Kharif,medium,Niger seed
loam soil,Assam,KARIMGANJ,Kharif,medium,Mesta
loam soil,Assam,KARIMGANJ,Kharif,medium,Small millets
loam soil,Assam,KARIMGANJ,Rabi,high,Rapeseed &Mustard
loam soil,Assam,KARIMGANJ,Rabi,low,Gram
loam soil,Assam,KARIMGANJ,Rabi,low,Linseed
loam soil,Assam,KARIMGANJ,Rabi,low,Urad
loam soil,Assam,KARIMGANJ,Rabi,low,Blackgram
loam soil,Assam,KARIMGANJ,Rabi,low,Ginger
loam soil,Assam,KARIMGANJ,Rabi,medium,Other  Rabi pulses
loam soil,Assam,KARIMGANJ,Rabi,medium,Moong(Green Gram)
loam soil,Assam,KARIMGANJ,Rabi,medium,Wheat
loam soil,Assam,KARIMGANJ,Whole Year,high,Orange
loam soil,Assam,KARIMGANJ,Whole Year,low,Tapioca
loam soil,Assam,KARIMGANJ,Whole Year,low,Tobacco
loam soil,Assam,KARIMGANJ,Whole Year,low,Dry ginger
loam soil,Assam,KARIMGANJ,Whole Year,medium,Turmeric
loam soil,Assam,KOKRAJHAR,Kharif,high,Maize
loam soil,Assam,KOKRAJHAR,Kharif,high,Orange
loam soil,Assam,KOKRAJHAR,Kharif,low,Jute
loam soil,Assam,KOKRAJHAR,Kharif,low,Tapioca
loam soil,Assam,KOKRAJHAR,Kharif,low,Tobacco
loam soil,Assam,KOKRAJHAR,Kharif,medium,Mesta
loam soil,Assam,KOKRAJHAR,Kharif,medium,Small millets
loam soil,Assam,KOKRAJHAR,Kharif,medium,Niger seed
loam soil,Assam,KOKRAJHAR,Rabi,high,Rapeseed &Mustard
loam soil,Assam,KOKRAJHAR,Rabi,low,Gram
loam soil,Assam,KOKRAJHAR,Rabi,low,Linseed
loam soil,Assam,KOKRAJHAR,Rabi,low,Urad
loam soil,Assam,KOKRAJHAR,Rabi,low,Blackgram
loam soil,Assam,KOKRAJHAR,Rabi,low,Ginger
loam soil,Assam,KOKRAJHAR,Rabi,medium,Other  Rabi pulses
loam soil,Assam,KOKRAJHAR,Rabi,medium,Wheat
loam soil,Assam,KOKRAJHAR,Rabi,medium,Moong(Green Gram)
loam soil,Assam,KOKRAJHAR,Whole Year,high,Orange
loam soil,Assam,KOKRAJHAR,Whole Year,low,Tapioca
loam soil,Assam,KOKRAJHAR,Whole Year,low,Tobacco
loam soil,Assam,KOKRAJHAR,Whole Year,low,Dry ginger
loam soil,Assam,KOKRAJHAR,Whole Year,medium,Niger seed
loam soil,Assam,KOKRAJHAR,Whole Year,medium,Turmeric
loam soil,Assam,LAKHIMPUR,Kharif,high,Maize
loam soil,Assam,LAKHIMPUR,Kharif,high,Orange
loam soil,Assam,LAKHIMPUR,Kharif,low,Jute
loam soil,Assam,LAKHIMPUR,Kharif,low,Tapioca
loam soil,Assam,LAKHIMPUR,Kharif,low,Tobacco
loam soil,Assam,LAKHIMPUR,Kharif,medium,Mesta
loam soil,Assam,LAKHIMPUR,Kharif,medium,Small millets
loam soil,Assam,LAKHIMPUR,Kharif,medium,Niger seed
loam soil,Assam,LAKHIMPUR,Rabi,high,Rapeseed &Mustard
loam soil,Assam,LAKHIMPUR,Rabi,low,Gram
loam soil,Assam,LAKHIMPUR,Rabi,low,Linseed
loam soil,Assam,LAKHIMPUR,Rabi,low,Urad
loam soil,Assam,LAKHIMPUR,Rabi,low,Blackgram
loam soil,Assam,LAKHIMPUR,Rabi,low,Ginger
loam soil,Assam,LAKHIMPUR,Rabi,medium,Other  Rabi pulses
loam soil,Assam,LAKHIMPUR,Rabi,medium,Wheat
loam soil,Assam,LAKHIMPUR,Rabi,medium,Moong(Green Gram)
loam soil,Assam,LAKHIMPUR,Whole Year,high,Orange
loam soil,Assam,LAKHIMPUR,Whole Year,low,Tapioca
loam soil,Assam,LAKHIMPUR,Whole Year,low,Tobacco
loam soil,Assam,LAKHIMPUR,Whole Year,low,Dry ginger
loam soil,Assam,LAKHIMPUR,Whole Year,medium,Turmeric
loam soil,Assam,MARIGAON,Kharif,high,Maize
loam soil,Assam,MARIGAON,Kharif,high,Orange
loam soil,Assam,MARIGAON,Kharif,low,Jute
loam soil,Assam,MARIGAON,Kharif,low,Tapioca
loam soil,Assam,MARIGAON,Kharif,low,Tobacco
loam soil,Assam,MARIGAON,Kharif,medium,Mesta
loam soil,Assam,MARIGAON,Kharif,medium,Small millets
loam soil,Assam,MARIGAON,Kharif,medium,Niger seed
loam soil,Assam,MARIGAON,Rabi,high,Rapeseed &Mustard
loam soil,Assam,MARIGAON,Rabi,low,Gram
loam soil,Assam,MARIGAON,Rabi,low,Linseed
loam soil,Assam,MARIGAON,Rabi,low,Urad
loam soil,Assam,MARIGAON,Rabi,low,Blackgram
loam soil,Assam,MARIGAON,Rabi,low,Ginger
loam soil,Assam,MARIGAON,Rabi,medium,Other  Rabi pulses
loam soil,Assam,MARIGAON,Rabi,medium,Wheat
loam soil,Assam,MARIGAON,Rabi,medium,Moong(Green Gram)
loam soil,Assam,MARIGAON,Whole Year,high,Orange
loam soil,Assam,MARIGAON,Whole Year,low,Tapioca
loam soil,Assam,MARIGAON,Whole Year,low,Tobacco
loam soil,Assam,MARIGAON,Whole Year,low,Dry ginger
loam soil,Assam,MARIGAON,Whole Year,medium,Niger seed
loam soil,Assam,MARIGAON,Whole Year,medium,Turmeric
loam soil,Assam,NAGAON,Kharif,high,Maize
loam soil,Assam,NAGAON,Kharif,high,Orange
loam soil,Assam,NAGAON,Kharif,low,Jute
loam soil,Assam,NAGAON,Kharif,low,Tapioca
loam soil,Assam,NAGAON,Kharif,low,Tobacco
loam soil,Assam,NAGAON,Kharif,medium,Mesta
loam soil,Assam,NAGAON,Kharif,medium,Small millets
loam soil,Assam,NAGAON,Kharif,medium,Niger seed
loam soil,Assam,NAGAON,Rabi,high,Rapeseed &Mustard
loam soil,Assam,NAGAON,Rabi,low,Gram
loam soil,Assam,NAGAON,Rabi,low,Linseed
loam soil,Assam,NAGAON,Rabi,low,Urad
loam soil,Assam,NAGAON,Rabi,low,Blackgram
loam soil,Assam,NAGAON,Rabi,low,Ginger
loam soil,Assam,NAGAON,Rabi,medium,Other  Rabi pulses
loam soil,Assam,NAGAON,Rabi,medium,Wheat
loam soil,Assam,NAGAON,Rabi,medium,Moong(Green Gram)
loam soil,Assam,NAGAON,Whole Year,high,Orange
loam soil,Assam,NAGAON,Whole Year,low,Tapioca
loam soil,Assam,NAGAON,Whole Year,low,Tobacco
loam soil,Assam,NAGAON,Whole Year,low,Dry ginger
loam soil,Assam,NAGAON,Whole Year,medium,Niger seed
loam soil,Assam,NAGAON,Whole Year,medium,Turmeric
loam soil,Assam,NALBARI,Kharif,high,Maize
loam soil,Assam,NALBARI,Kharif,high,Orange
loam soil,Assam,NALBARI,Kharif,low,Jute
loam soil,Assam,NALBARI,Kharif,low,Tapioca
loam soil,Assam,NALBARI,Kharif,low,Tobacco
loam soil,Assam,NALBARI,Kharif,medium,Mesta
loam soil,Assam,NALBARI,Kharif,medium,Small millets
loam soil,Assam,NALBARI,Kharif,medium,Niger seed
loam soil,Assam,NALBARI,Rabi,high,Rapeseed &Mustard
loam soil,Assam,NALBARI,Rabi,low,Gram
loam soil,Assam,NALBARI,Rabi,low,Linseed
loam soil,Assam,NALBARI,Rabi,low,Urad
loam soil,Assam,NALBARI,Rabi,low,Blackgram
loam soil,Assam,NALBARI,Rabi,low,Ginger
loam soil,Assam,NALBARI,Rabi,medium,Other  Rabi pulses
loam soil,Assam,NALBARI,Rabi,medium,Wheat
loam soil,Assam,NALBARI,Rabi,medium,Moong(Green Gram)
loam soil,Assam,NALBARI,Whole Year,high,Orange
loam soil,Assam,NALBARI,Whole Year,low,Tapioca
loam soil,Assam,NALBARI,Whole Year,low,Tobacco
loam soil,Assam,NALBARI,Whole Year,low,Dry ginger
loam soil,Assam,NALBARI,Whole Year,medium,Niger seed
loam soil,Assam,NALBARI,Whole Year,medium,Turmeric
loam soil,Assam,SIVASAGAR,Kharif,high,Maize
loam soil,Assam,SIVASAGAR,Kharif,high,Orange
loam soil,Assam,SIVASAGAR,Kharif,low,Jute
loam soil,Assam,SIVASAGAR,Kharif,low,Tapioca
loam soil,Assam,SIVASAGAR,Kharif,medium,Mesta
loam soil,Assam,SIVASAGAR,Kharif,medium,Small millets
loam soil,Assam,SIVASAGAR,Kharif,medium,Niger seed
loam soil,Assam,SIVASAGAR,Rabi,high,Rapeseed &Mustard
loam soil,Assam,SIVASAGAR,Rabi,low,Gram
loam soil,Assam,SIVASAGAR,Rabi,low,Linseed
loam soil,Assam,SIVASAGAR,Rabi,low,Urad
loam soil,Assam,SIVASAGAR,Rabi,low,Blackgram
loam soil,Assam,SIVASAGAR,Rabi,low,Ginger
loam soil,Assam,SIVASAGAR,Rabi,medium,Other  Rabi pulses
loam soil,Assam,SIVASAGAR,Rabi,medium,Wheat
loam soil,Assam,SIVASAGAR,Rabi,medium,Moong(Green Gram)
loam soil,Assam,SIVASAGAR,Whole Year,high,Orange
loam soil,Assam,SIVASAGAR,Whole Year,low,Tapioca
loam soil,Assam,SIVASAGAR,Whole Year,low,Tobacco
loam soil,Assam,SIVASAGAR,Whole Year,low,Dry ginger
loam soil,Assam,SIVASAGAR,Whole Year,medium,Turmeric
loam soil,Assam,SONITPUR,Kharif,high,Maize
loam soil,Assam,SONITPUR,Kharif,high,Orange
loam soil,Assam,SONITPUR,Kharif,low,Jute
loam soil,Assam,SONITPUR,Kharif,low,Tapioca
loam soil,Assam,SONITPUR,Kharif,low,Tobacco
loam soil,Assam,SONITPUR,Kharif,medium,Mesta
loam soil,Assam,SONITPUR,Kharif,medium,Small millets
loam soil,Assam,SONITPUR,Kharif,medium,Niger seed
loam soil,Assam,SONITPUR,Rabi,high,Rapeseed &Mustard
loam soil,Assam,SONITPUR,Rabi,low,Gram
loam soil,Assam,SONITPUR,Rabi,low,Linseed
loam soil,Assam,SONITPUR,Rabi,low,Urad
loam soil,Assam,SONITPUR,Rabi,low,Blackgram
loam soil,Assam,SONITPUR,Rabi,low,Ginger
loam soil,Assam,SONITPUR,Rabi,medium,Other  Rabi pulses
loam soil,Assam,SONITPUR,Rabi,medium,Wheat
loam soil,Assam,SONITPUR,Rabi,medium,Moong(Green Gram)
loam soil,Assam,SONITPUR,Whole Year,high,Orange
loam soil,Assam,SONITPUR,Whole Year,low,Tapioca
loam soil,Assam,SONITPUR,Whole Year,low,Tobacco
loam soil,Assam,SONITPUR,Whole Year,low,Dry ginger
loam soil,Assam,SONITPUR,Whole Year,medium,Niger seed
loam soil,Assam,SONITPUR,Whole Year,medium,Turmeric
loam soil,Assam,TINSUKIA,Kharif,high,Maize
loam soil,Assam,TINSUKIA,Kharif,high,Orange
loam soil,Assam,TINSUKIA,Kharif,low,Jute
loam soil,Assam,TINSUKIA,Kharif,low,Tapioca
loam soil,Assam,TINSUKIA,Kharif,low,Tobacco
loam soil,Assam,TINSUKIA,Kharif,medium,Mesta
loam soil,Assam,TINSUKIA,Kharif,medium,Small millets
loam soil,Assam,TINSUKIA,Kharif,medium,Niger seed
loam soil,Assam,TINSUKIA,Rabi,high,Rapeseed &Mustard
loam soil,Assam,TINSUKIA,Rabi,low,Linseed
loam soil,Assam,TINSUKIA,Rabi,low,Urad
loam soil,Assam,TINSUKIA,Rabi,low,Gram
loam soil,Assam,TINSUKIA,Rabi,low,Blackgram
loam soil,Assam,TINSUKIA,Rabi,low,Ginger
loam soil,Assam,TINSUKIA,Rabi,medium,Other  Rabi pulses
loam soil,Assam,TINSUKIA,Rabi,medium,Wheat
loam soil,Assam,TINSUKIA,Rabi,medium,Moong(Green Gram)
loam soil,Assam,TINSUKIA,Whole Year,high,Orange
loam soil,Assam,TINSUKIA,Whole Year,low,Tapioca
loam soil,Assam,TINSUKIA,Whole Year,low,Tobacco
loam soil,Assam,TINSUKIA,Whole Year,low,Dry ginger
loam soil,Assam,TINSUKIA,Whole Year,medium,Niger seed
loam soil,Assam,TINSUKIA,Whole Year,medium,Turmeric
loam soil,Assam,UDALGURI,Kharif,high,Maize
loam soil,Assam,UDALGURI,Kharif,high,Orange
loam soil,Assam,UDALGURI,Kharif,low,Jute
loam soil,Assam,UDALGURI,Kharif,low,Tapioca
loam soil,Assam,UDALGURI,Kharif,low,Tobacco
loam soil,Assam,UDALGURI,Kharif,medium,Mesta
loam soil,Assam,UDALGURI,Kharif,medium,Niger seed
loam soil,Assam,UDALGURI,Kharif,medium,Small millets
loam soil,Assam,UDALGURI,Rabi,high,Rapeseed &Mustard
loam soil,Assam,UDALGURI,Rabi,low,Gram
loam soil,Assam,UDALGURI,Rabi,low,Linseed
loam soil,Assam,UDALGURI,Rabi,low,Urad
loam soil,Assam,UDALGURI,Rabi,low,Blackgram
loam soil,Assam,UDALGURI,Rabi,low,Ginger
loam soil,Assam,UDALGURI,Rabi,medium,Moong(Green Gram)
loam soil,Assam,UDALGURI,Rabi,medium,Other  Rabi pulses
loam soil,Assam,UDALGURI,Rabi,medium,Wheat
loam soil,Assam,UDALGURI,Whole Year,low,Tapioca
loam soil,Assam,UDALGURI,Whole Year,low,Tobacco
loam soil,Assam,UDALGURI,Whole Year,low,Dry ginger
loam soil,Assam,UDALGURI,Whole Year,medium,Turmeric
loam soil,Bihar,ARARIA,Autumn,high,Maize
loam soil,Bihar,ARARIA,Kharif,high,Maize
loam soil,Bihar,ARARIA,Kharif,high,Safflower
loam soil,Bihar,ARARIA,Kharif,low,Dry ginger
loam soil,Bihar,ARARIA,Kharif,low,Jute
loam soil,Bihar,ARARIA,Kharif,low,Other Kharif pulses
loam soil,Bihar,ARARIA,Kharif,low,Blackgram
loam soil,Bihar,ARARIA,Kharif,low,Ragi
loam soil,Bihar,ARARIA,Kharif,low,Urad
loam soil,Bihar,ARARIA,Kharif,medium,Mesta
loam soil,Bihar,ARARIA,Kharif,medium,Small millets
loam soil,Bihar,ARARIA,Kharif,medium,Jowar
loam soil,Bihar,ARARIA,Kharif,medium,Moong(Green Gram)
loam soil,Bihar,ARARIA,Rabi,high,Maize
loam soil,Bihar,ARARIA,Rabi,high,Rapeseed &Mustard
loam soil,Bihar,ARARIA,Rabi,high,Safflower
loam soil,Bihar,ARARIA,Rabi,low,Gram
loam soil,Bihar,ARARIA,Rabi,low,Linseed
loam soil,Bihar,ARARIA,Rabi,medium,Other  Rabi pulses
loam soil,Bihar,ARARIA,Rabi,medium,Wheat
loam soil,Bihar,ARARIA,Rabi,medium,Khesari
loam soil,Bihar,ARARIA,Rabi,medium,Moong(Green Gram)
loam soil,Bihar,ARARIA,Summer,high,Maize
loam soil,Bihar,ARARIA,Summer,medium,Moong(Green Gram)
loam soil,Bihar,ARARIA,Whole Year,low,Garlic
loam soil,Bihar,ARARIA,Whole Year,low,Ragi
loam soil,Bihar,ARARIA,Whole Year,low,Dry ginger
loam soil,Bihar,ARARIA,Whole Year,low,Tobacco
loam soil,Bihar,ARARIA,Whole Year,medium,Turmeric
loam soil,Bihar,ARWAL,Autumn,high,Maize
loam soil,Bihar,ARWAL,Kharif,high,Maize
loam soil,Bihar,ARWAL,Kharif,low,Other Kharif pulses
loam soil,Bihar,ARWAL,Kharif,low,Ragi
loam soil,Bihar,ARWAL,Kharif,low,Urad
loam soil,Bihar,ARWAL,Kharif,low,Dry ginger
loam soil,Bihar,ARWAL,Kharif,low,Jute
loam soil,Bihar,ARWAL,Kharif,medium,Moong(Green Gram)
loam soil,Bihar,ARWAL,Kharif,medium,Mesta
loam soil,Bihar,ARWAL,Kharif,medium,Small millets
loam soil,Bihar,ARWAL,Rabi,high,Maize
loam soil,Bihar,ARWAL,Rabi,high,Rapeseed &Mustard
loam soil,Bihar,ARWAL,Rabi,low,Gram
loam soil,Bihar,ARWAL,Rabi,low,Linseed
loam soil,Bihar,ARWAL,Rabi,medium,Khesari
loam soil,Bihar,ARWAL,Rabi,medium,Wheat
loam soil,Bihar,ARWAL,Rabi,medium,Other  Rabi pulses
loam soil,Bihar,ARWAL,Summer,high,Maize
loam soil,Bihar,ARWAL,Summer,medium,Moong(Green Gram)
loam soil,Bihar,ARWAL,Whole Year,low,Garlic
loam soil,Bihar,ARWAL,Whole Year,low,Dry ginger
loam soil,Bihar,ARWAL,Whole Year,medium,Turmeric
loam soil,Bihar,AURANGABAD,Autumn,high,Maize
loam soil,Bihar,AURANGABAD,Kharif,high,Maize
loam soil,Bihar,AURANGABAD,Kharif,low,Dry ginger
loam soil,Bihar,AURANGABAD,Kharif,low,Other Kharif pulses
loam soil,Bihar,AURANGABAD,Kharif,low,Blackgram
loam soil,Bihar,AURANGABAD,Kharif,low,Ragi
loam soil,Bihar,AURANGABAD,Kharif,low,Urad
loam soil,Bihar,AURANGABAD,Kharif,medium,Jowar
loam soil,Bihar,AURANGABAD,Kharif,medium,Moong(Green Gram)
loam soil,Bihar,AURANGABAD,Kharif,medium,Mesta
loam soil,Bihar,AURANGABAD,Kharif,medium,Small millets
loam soil,Bihar,AURANGABAD,Rabi,high,Maize
loam soil,Bihar,AURANGABAD,Rabi,high,Rapeseed &Mustard
loam soil,Bihar,AURANGABAD,Rabi,high,Safflower
loam soil,Bihar,AURANGABAD,Rabi,low,Gram
loam soil,Bihar,AURANGABAD,Rabi,low,Linseed
loam soil,Bihar,AURANGABAD,Rabi,medium,Other  Rabi pulses
loam soil,Bihar,AURANGABAD,Rabi,medium,Wheat
loam soil,Bihar,AURANGABAD,Rabi,medium,Khesari
loam soil,Bihar,AURANGABAD,Summer,high,Maize
loam soil,Bihar,AURANGABAD,Summer,medium,Moong(Green Gram)
loam soil,Bihar,AURANGABAD,Whole Year,low,Ragi
loam soil,Bihar,AURANGABAD,Whole Year,low,Dry ginger
loam soil,Bihar,AURANGABAD,Whole Year,low,Garlic
loam soil,Bihar,AURANGABAD,Whole Year,medium,Turmeric
loam soil,Bihar,BANKA,Autumn,high,Maize
loam soil,Bihar,BANKA,Kharif,high,Maize
loam soil,Bihar,BANKA,Kharif,low,Other Kharif pulses
loam soil,Bihar,BANKA,Kharif,low,Blackgram
loam soil,Bihar,BANKA,Kharif,low,Urad
loam soil,Bihar,BANKA,Kharif,low,Jute
loam soil,Bihar,BANKA,Kharif,low,Ragi
loam soil,Bihar,BANKA,Kharif,medium,Mesta
loam soil,Bihar,BANKA,Kharif,medium,Small millets
loam soil,Bihar,BANKA,Kharif,medium,Jowar
loam soil,Bihar,BANKA,Kharif,medium,Moong(Green Gram)
loam soil,Bihar,BANKA,Rabi,high,Maize
loam soil,Bihar,BANKA,Rabi,high,Rapeseed &Mustard
loam soil,Bihar,BANKA,Rabi,high,Safflower
loam soil,Bihar,BANKA,Rabi,low,Gram
loam soil,Bihar,BANKA,Rabi,low,Linseed
loam soil,Bihar,BANKA,Rabi,medium,Other  Rabi pulses
loam soil,Bihar,BANKA,Rabi,medium,Wheat
loam soil,Bihar,BANKA,Rabi,medium,Khesari
loam soil,Bihar,BANKA,Rabi,medium,Moong(Green Gram)
loam soil,Bihar,BANKA,Summer,high,Maize
loam soil,Bihar,BANKA,Summer,medium,Moong(Green Gram)
loam soil,Bihar,BANKA,Whole Year,low,Garlic
loam soil,Bihar,BANKA,Whole Year,low,Ragi
loam soil,Bihar,BANKA,Whole Year,medium,Turmeric
loam soil,Bihar,BEGUSARAI,Autumn,high,Maize
loam soil,Bihar,BEGUSARAI,Kharif,high,Maize
loam soil,Bihar,BEGUSARAI,Kharif,low,Other Kharif pulses
loam soil,Bihar,BEGUSARAI,Kharif,low,Blackgram
loam soil,Bihar,BEGUSARAI,Kharif,low,Jute
loam soil,Bihar,BEGUSARAI,Kharif,low,Ragi
loam soil,Bihar,BEGUSARAI,Kharif,low,Dry ginger
loam soil,Bihar,BEGUSARAI,Kharif,low,Urad
loam soil,Bihar,BEGUSARAI,Kharif,medium,Mesta
loam soil,Bihar,BEGUSARAI,Kharif,medium,Small millets
loam soil,Bihar,BEGUSARAI,Kharif,medium,Jowar
loam soil,Bihar,BEGUSARAI,Kharif,medium,Moong(Green Gram)
loam soil,Bihar,BEGUSARAI,Rabi,high,Maize
loam soil,Bihar,BEGUSARAI,Rabi,high,Rapeseed &Mustard
loam soil,Bihar,BEGUSARAI,Rabi,high,Safflower
loam soil,Bihar,BEGUSARAI,Rabi,low,Gram
loam soil,Bihar,BEGUSARAI,Rabi,low,Linseed
loam soil,Bihar,BEGUSARAI,Rabi,low,Tobacco
loam soil,Bihar,BEGUSARAI,Rabi,medium,Other  Rabi pulses
loam soil,Bihar,BEGUSARAI,Rabi,medium,Wheat
loam soil,Bihar,BEGUSARAI,Rabi,medium,Khesari
loam soil,Bihar,BEGUSARAI,Rabi,medium,Moong(Green Gram)
loam soil,Bihar,BEGUSARAI,Summer,high,Maize
