crop,Fertilizers
Plums,"For newly planted plums, fertilize in the early spring by broadcasting one cup of 10-10-10 fertilizer over an area that is roughly three feet across. In mid-May and mid-July, apply a ½ cup of calcium nitrate or ammonium nitrate evenly over an area about two feet in diameter.Plum trees will produce flowers and fruit any time up to five years. Until they flower, feed with a general purpose fertiliser that you can add to water. Once the tree starts to flower, change this to a feed high in potash, like tomato food, which encourages good flowering and fruiting."
Pome Fruit,"Pome fruits require potassium, magnesium, calcium and a bit of boron. Pome fruits do not require a great deal of nitrogen fertilizer. In fact, excess nitrogen can: Favor vegetative growth over fruit production."
Pome Granet,"A pomegranate tree needs adequate nitrogen for best growth, because nitrogen supports growth of foliage and production of flowers that eventually set fruit. You can use ammonium sulfate, a high-nitrogen fertilizer, or a balanced 10-10-10 formula, starting in spring after the tree begins to show new growth."
Potato,"So they need to be incorporated into the soil before planting. Using 15 pounds of 15-15-15 fertilizer per 1,000 square feet of soil or 23 pounds of 10-10-10 fertilizer per 1,000 square feet of soil is recommended.Because potatoes need adequate fertilizer early in the season, apply most of the fertilizer just before planting. Use 2 to 3 pounds of complete fertilizer such as 10- 20-10 for each 30 feet of row in bands 2 inches to each side and 1 inch below the seed piece. Do not allow the fertilizer to touch the seed piece."
Pulses total,"Out of 16 essential elements, pulses specially need adequate amount of P, Ca, Mg, S and Mo. Phosphorus is required for proper root growth and growth of rhizobia. Calcium and magnesium are required to stimulate growth and to increase the size of the nodules, pod formation and grain setting."
Pump Kin,"Apply a weekly nitrogen-heavy fertilizer early in the growing season to produce a healthy plant. Once the flowers start to form, switch to a phosphorus-heavy fertilizer for plentiful blossoms. When the actual pumpkins appear, use a potassium-rich fertilizer for healthy fruit."
Ragi,"Finger millet responds well to fertilizer application especially to N and P. The recommended doses of fertilizers vary from state to state for rainfed crop. Apply recommended dose of 40:20:20 N:P:K kg/ha was applied. With judicious application of farmyard manure, inorganic fertilizer efficiency is enhanced."
Rajmash Kholar,Manures and Fertilizers in Red Kidney Beans Farming:- This crop lack biological Nitrogen fixation due to poor nodulation. Therefore it needs good amount of Nitrogen about 100 to 125 kg/ha. This crop also requires 60 to 70 kg of P2O5/ha and adding potassium hardly effects the yield.
Rapeseed &Mustard,"Apply 15-20 tonnes of FYM or compost at the time of field preparation. And 60-90kg nitrogen, 60 kg P2O5 and 40 kg K2O per hectare. Split application of nitrogen has been found useful for rape and mustard crop."
Redish,"Radish is a quick growing crop, hence the soil should be highly rich in plant nutrients. Add farmyard manure 25-40 tonnes, nitrogcn 18-50 kg in the form of ammonium sulphate, phosphorus 50 kg in the form of superphosphate and potash 50 kg in the form of muriate of potash for one hectare of the field."
Ribed Guard,Manure and Fertilizers of Ridge gourd plants 40 to 50 cartload well decomposed Farm Yard Manure should be applied at the time of soil or field preparation. Apply a fertilizer dose of 250:100:100 kg NPK / ha throughout the Ridge gourd cropping period through the split application.
Rice,Proper phosphorus (P) nutrition is critical for producing maximum rice grain yields. Phosphorus is very important in the early vegetative growth stages. Phosphorus promotes strong early plant growth and development of a strong root system.
Ricebean (nagadal),Proper phosphorus (P) nutrition is critical for producing maximum rice grain yields. Phosphorus is very important in the early vegetative growth stages. Phosphorus promotes strong early plant growth and development of a strong root system.
Rubber,"Fertilize the rubber tree with a 10-10-10 nitrogen, phosphorous, potassium slow-release granular fertilizer beginning in the spring, after active growth begins. Apply the fertilizer at a rate of 1 tablespoon per square foot of soil."
Saflower,"Manures and fertilizers In areas, where irrigations is possible, 40:40:20 kg/ha N:P2O5 :K2O should be applied at the time of sowing. The fertilizers should be applied in furrows 8-10 cm deep and 4-5 cm away from the seed at the time of planting."
Samai,Most gardeners should use a complete fertilizer with twice as much phosphorus as nitrogen or potassium. An example would be 10-20-10 or 12-24-12. These fertilizers usually are easy to find. Some soils contain enough potassium for good plant growth and don't need more.
Sannhamp,"If growers can't or won't soil test, a standard treatment is 100 to 150 pounds per acre of P2O5 applied as superphosphate, 0-20-20 fertilizer or the equivalent. Sunn hemp is fairly drought tolerant, but needs at least an acre inch of moisture for optimum growth."
Sapota,"Manure and Fertilizer Requirements for Sapota Plants.The Sapota trees need a foliar spray of NPK, Mg and Zn during the fruit set period so that the size of the fruit is improved. Application of nitrophoska 8: 12: 24:4 @ 100 g/tree has proved to be beneficial for the growth of Sapota trees."
Sesamum,"Sidedressing with a nitrogen-bearing fertilizer may be necessary when growing plants are unthrifty and light green in color. Sesame will require approximately 40 to 80 pounds of nitrogen per acre on irrigated production and 25 to 60 pounds of nitrogen per acre on dryland production,"
Small millets,"Potassium-rich basal fertilizers like N.P.K 17.17. 17 should also be applied. These fertilizers induce flowering, promote good grain filling and quality, increase crop resistance to infections and weather stress, ensure a balanced crop growth, improve crop productivity and promote tillering, among other benefits."
Snak Guard,Manure and Fertilizers of Snake Gourd:40 to 50 cartload well decomposed organic Farm Yard Manure (FMY) should be applied at the time of soil or mainland preparation. 100 grams of NPK 6:12:12 mixture as basal dose/pit and N @ 10 grams/ pit 30 days after sowing the seeds.
Soyabean,"Manure. Some growers will apply livestock manures to soybean fields, instead of corn. Manure is an excellent source of phosphorus (P), potassium (K), all secondary nutrients and micronutrients."
Sugarcane,"For sugarcane, apply 12.5 t/ha of FYM before the last ploughing.An average well decomposed farmyard manure contains 0.5 per cent N, 0.2 per cent P2O5and 0.5 per cent K2O. When cow dung and urine are mixed, a balanced nutrition is made available for cane growth.Press Mud is a by-product of sugar industry. For every 100 tonnes of sugarcane crushed about 3 tonnes of press mud cake is left behind as by-product.Apply 37.5 t/ha of press mud before planting. It contains 1.2%N, 2.1-2.4% P2O5 and 2.0% K2O.It contains trace quantity of micronutrients and prevents soil erosion, crusting and cracking, adjust soil pH, improves drainage and promotes normal bacterial and microbial growth in the soil."
Sunflower,"Sprinkle a low-nitrogen fertilizer, such as a 5-10-10 blend, over the bed. The amount of fertilizer needed varies depending on the fertilizer, but generally, one-half cup per 25 square feet is sufficient. Use the lowest application recommendation on the fertilizer label for sunflowers."
Sweet potato,"Experts vary in their recommendations for the exact ratio of nitrogen, potassium and phosphorus to add. But, depending on results of your soil sample, a 1-2-4 or 5-10-10 fertilizer mix should provide the right balance to ensure healthy growth of young sweet potatoes."
Tapioca,"Application of chemical fertilizers can definitely increase tapioca yield. It is convenient to use, but costly. Generally, the recommended compound fertilizer grades are 15-15-15 and 13-13-21, because they are largely available. The optimal rate of application is 300-600 kgs per hectare, all at one time."
Tea,"Zinc sulphate should be applied within 7 - 14 days after ground fertiliser application. If deficiency symptoms of nitrogen (general yellowing) are observed, apply 2 to 4% of urea. Apply 8 to 16 kg of urea per ha in 400 l of water, as and when necessary."
Tobacco,"A tobacco fertilizer should contain little or no chlorine and most of the nitrogen should be in the nitrate form. Fertilizer manufactured for use on tomato, pepper, and potato should be satisfactory for tobacco. Seed should be sown about 50-60 days prior to the desired date of transplanting."
Tomato,"Cottonseed meal is also a good choice as a natural tomato fertilizer that can be mixed into your soil at the time of planting. It contains nitrogen, phosphorus and potassium in about a 6-2-1 ratio; it's nitrogen supports leafy growth early in the young tomato plants' growth cycle."
Total foodgrain,"Where wheat or oats follow corn, sorghum or rice, application of 15 to 20 pounds of nitrogen per acre in the fall may be beneficial. Spring Topdressing: Nitrogen is a necessary nutrient for growth of wheat and oats."
Turmeric,"Apply fertilizer at a rate of 1 to 2 lbs (depending on soil fertility) per planting row foot. A good quality composted poultry-based manure is commonly used. Early in the growing season, turmeric appreciates more nitrogen to support leafy growth."
Turnip,"It is hard to determine which is more healthful, as turnip greens have a different nutrient composition to the roots. Turnip greens are an excellent source of vitamin K, vitamin A, vitamin C, folate, copper, and manganese. Both the greens and the roots are great sources of fiber."
Urad,The recommended fertilizer dose for black gram is 20:40:40 kg NPK/ha. Fertilizer dose should be applied as per soil test report.
Varagu,"Out of 16 essential elements, pulses specially need adequate amount of P, Ca, Mg, S and Mo. Phosphorus is required for proper root growth and growth of rhizobia. Calcium and magnesium are required to stimulate growth and to increase the size of the nodules, pod formation and grain setting."
Water Melon,"Irrigate the field before dibbling the seeds and thereafter once a week. ... Irrigation after a long dry spell results in cracking of fruits. Application of fertilizers. Apply FYM 20 t/ha, P 55 kg and K 55 kg as basal and N 55 kg/ha 30 days after sowing."
Wheat,"For wheat, phosphatic fertilizers must contain at least 50 % of the total phosphorus in water soluble form and remaining phosphorus in citrate soluble form. This is relatively important in neutral and alkaline soils."
Yam,"Yam is a major source of carbohydrate. Many farmers apply fertilizers such as N:P:K in various formulation, urea, calcuim ammonium nitrate (CAN), organic fertilizers or manures and organomineral fertilizer."
other fibres,"Out of 16 essential elements, pulses specially need adequate amount of P, Ca, Mg, S and Mo. Phosphorus is required for proper root growth and growth of rhizobia. Calcium and magnesium are required to stimulate growth and to increase the size of the nodules, pod formation and grain setting."
other misc. pulses,"Out of 16 essential elements, pulses specially need adequate amount of P, Ca, Mg, S and Mo. Phosphorus is required for proper root growth and growth of rhizobia. Calcium and magnesium are required to stimulate growth and to increase the size of the nodules, pod formation and grain setting."
other oilseeds,"Out of 16 essential elements, pulses specially need adequate amount of P, Ca, Mg, S and Mo. Phosphorus is required for proper root growth and growth of rhizobia. Calcium and magnesium are required to stimulate growth and to increase the size of the nodules, pod formation and grain setting."
